,BTC-USD,cash,value
2016-11-09,0.609444444444,0.390555555556,9357.61439793
2016-11-10,0.588055555556,0.411944444444,9303.10643296
2016-11-11,0.589166666667,0.410833333333,9306.15040324
2016-11-14,0.540555555556,0.459444444444,9225.48108223
2016-11-15,0.589444444444,0.410555555556,9270.91140964
2016-11-16,0.664444444444,0.335555555556,9493.94449714
2016-11-17,0.662222222222,0.337777777778,9470.48430493
2016-11-18,0.703055555556,0.296944444444,9549.9522698
2016-11-21,0.662222303379,0.337777696621,9452.42271932
2016-11-22,0.705833333333,0.294166666667,9563.48367159
2016-11-23,0.665297354582,0.334702645418,9488.25429222
2016-11-24,0.655630875501,0.344369124499,9439.03952223
2016-11-25,0.667024263064,0.332975736936,9481.60825722
2016-11-28,0.6525,0.3475,9420.80992067
2016-11-29,0.649444444444,0.350555555556,9414.55350385
2016-11-30,0.672263948476,0.327736051524,9497.06099287
2016-12-01,0.715,0.285,9583.49797224
2016-12-02,0.741666666667,0.258333333333,9749.78072384
2016-12-05,0.681597078999,0.318402921001,9592.99048094
2016-12-06,0.686474517678,0.313525482322,9626.46297244
2016-12-07,0.721111111111,0.278888888889,9689.8961132
2016-12-08,0.736284845259,0.263715154741,9716.35982553
2016-12-09,0.741021852404,0.258978147596,9734.80269168
2016-12-12,0.765794426639,0.234205573361,9809.16597925
2016-12-13,0.766097610339,0.233902389661,9811.76678542
2016-12-14,0.742864339105,0.257135660895,9789.69954797
2016-12-15,0.740265701729,0.259734298271,9777.57342077
2016-12-16,0.766344173242,0.233655826758,9840.9599949
2016-12-19,0.769592894728,0.230407105272,9915.56991162
2016-12-20,0.794175835315,0.205824164685,10005.0766999
2016-12-21,0.834727424424,0.165272575576,10303.7818858
2016-12-22,0.875205080565,0.124794919435,10623.9708734
2016-12-23,0.875034858245,0.124965141755,11240.2030678
2016-12-26,0.803611111111,0.196388888889,11037.1482958
2016-12-27,0.873424861236,0.126575138764,11306.2273654
2016-12-28,0.874210465284,0.125789534716,11800.9589624
2016-12-29,0.87183480897,0.12816519103,11789.3392497
2016-12-30,0.834888623506,0.165111376494,11661.0638349
2017-01-02,0.879045887437,0.120954112563,12249.1074355
2017-01-03,0.877676820887,0.122323179113,12421.0725585
2017-01-04,0.880119350388,0.119880649612,13498.187812
2017-01-05,0.4475,0.5525,11958.6670262
2017-01-06,0.2525,0.7475,11396.4839723
2017-01-09,0.28288096692,0.71711903308,11440.0855415
2017-01-10,0.291277938793,0.708722061207,11456.4255035
2017-01-11,0.149722222222,0.850277777778,11014.956258
2017-01-12,0.161944444444,0.838055555556,11066.5958092
2017-01-13,0.203229306604,0.796770693396,11098.3009993
2017-01-16,0.205555555556,0.794444444444,11105.1239247
2017-01-17,0.280122152527,0.719877847473,11303.3177222
2017-01-18,0.256111111111,0.743888888889,11205.673884
2017-01-19,0.272750585587,0.727249414413,11281.700301
2017-01-20,0.257903173481,0.742096826519,11273.4708803
2017-01-23,0.304244292391,0.695755707609,11365.5266026
2017-01-24,0.268888888889,0.731111111111,11260.883568
2017-01-25,0.270381936579,0.729618063421,11263.0891265
